,name,label,timezone,id,lat,lon,insee,region,label_region,id_region,zip_code
0,,,Europe/Paris,stop_area:OCE:SA:87187971,0,0,,,,,
1,,,Europe/Paris,stop_area:OCE:SA:87713875,0,0,,,,,
2,,,Europe/Paris,stop_area:OCE:SA:87725473,0,0,,,,,
3,Aachen/Aix la Chapelle,Aachen/Aix la Chapelle (Aachen),Europe/Paris,stop_area:OCE:SA:80153452,50.767759,6.091215,,Aachen,Aachen,admin:osm:relation:62564,
4,Abancourt,Abancourt (Abancourt),Europe/Paris,stop_area:OCE:SA:87313759,49.685665,1.77418,60001,Abancourt,Abancourt (60220),admin:fr:60001,60220
5,Abbaretz,Abbaretz (Abbaretz),Europe/Paris,stop_area:OCE:SA:87481614,47.55523,-1.524196,44001,Abbaretz,Abbaretz (44170),admin:fr:44001,44170
6,Abbeville,Abbeville (Abbeville),Europe/Paris,stop_area:OCE:SA:87317362,50.102194,1.824486,80001,Abbeville,Abbeville (80100),admin:fr:80001,80100
7,Ablon,Ablon (Ablon-sur-Seine),Europe/Paris,stop_area:OCE:SA:87545269,48.725377,2.419245,94001,Ablon-sur-Seine,Ablon-sur-Seine (94480),admin:fr:94001,94480
8,Aboncourt,Aboncourt (Aboncourt),Europe/Paris,stop_area:OCE:SA:87191403,49.261034,6.346529,57001,Aboncourt,Aboncourt (57920),admin:fr:57001,57920
9,Abrest Mairie,Abrest Mairie (Abrest),Europe/Paris,stop_area:OCE:SA:87721944,46.098866,3.444789,3001,Abrest,Abrest (03200),admin:fr:3001,03200
10,Accolay-Le-Pont,Accolay-Le-Pont (Deux Rivières),Europe/Paris,stop_area:OCE:SA:87677252,47.659446,3.713922,89130,Deux Rivières,Deux Rivières,admin:fr:89130,
11,Achères-Grand-Cormier,Achères-Grand-Cormier (Saint-Germain-en-Laye),Europe/Paris,stop_area:OCE:SA:87386052,48.955163,2.09194,78551,Saint-Germain-en-Laye,Saint-Germain-en-Laye,admin:fr:78551,
12,Achères-Ville,Achères-Ville (Achères),Europe/Paris,stop_area:OCE:SA:87381657,48.969341,2.077786,78005,Achères,Achères (78260),admin:fr:78005,78260
13,Achiet,Achiet (Achiet-le-Grand),Europe/Paris,stop_area:OCE:SA:87342048,50.131685,2.78014,62005,Achiet-le-Grand,Achiet-le-Grand (62121),admin:fr:62005,62121
14,Adamswiller Lot. forêt.,Adamswiller Lot. forêt. (Adamswiller),Europe/Paris,stop_area:OCE:SA:87658856,48.905629,7.208236,67002,Adamswiller,Adamswiller (67320),admin:fr:67002,67320
15,Adamswiller-(Mairie).,Adamswiller-(Mairie). (Adamswiller),Europe/Paris,stop_area:OCE:SA:87658922,48.903847,7.201171,67002,Adamswiller,Adamswiller (67320),admin:fr:67002,67320
16,Aérop-C-de-Gaulle-2-TGV,Aérop-C-de-Gaulle-2-TGV (Tremblay-en-France),Europe/Paris,stop_area:OCE:SA:87001479,49.003605,2.571026,93073,Tremblay-en-France,Tremblay-en-France (93290),admin:fr:93073,93290
17,Aéroport-Ch-de-Gaulle-1,Aéroport-Ch-de-Gaulle-1 (Tremblay-en-France),Europe/Paris,stop_area:OCE:SA:87271460,49.00954,2.559837,93073,Tremblay-en-France,Tremblay-en-France (93290),admin:fr:93073,93290
